date,time,lat,lon,LEVEL_FELONY,LEVEL_MISDEMEANOR,LEVEL_VIOLATION
02/24/2017,15:30:00,40.817828774,-73.864993252,0,1,0
02/24/2017,15:28:00,40.816491309,-73.916246698,0,1,0
02/24/2017,15:26:00,40.694127404,-73.937269115,1,0,0
02/24/2017,15:25:00,40.575803739,-74.169812399,0,1,0
02/24/2017,15:25:00,40.678250863,-73.95289129300001,0,1,0
02/24/2017,15:24:00,40.682315413000005,-73.925948147,0,1,0
02/24/2017,15:20:00,40.819823251,-73.955446596,1,0,0
02/24/2017,15:15:00,40.78281448,-73.978574143,0,1,0
02/24/2017,15:15:00,40.684422643000005,-73.86950715,0,0,1
02/24/2017,15:14:00,40.742237851999995,-73.991192516,0,1,0
02/24/2017,15:10:00,40.633139053,-74.075351235,0,1,0
02/24/2017,15:10:00,40.753580331,-73.91400497800001,0,1,0
02/24/2017,15:10:00,40.833332246,-73.86376205,1,0,0
02/24/2017,15:05:00,40.601159958000004,-73.75670987699999,1,0,0
02/24/2017,15:05:00,40.722308485999996,-73.997122534,0,1,0
02/24/2017,15:03:00,40.63398558,-73.897686686,0,1,0
02/24/2017,15:02:00,40.79477856,-73.939409849,0,1,0
02/24/2017,15:02:00,40.84584039,-73.827238575,0,1,0
02/24/2017,15:00:00,40.742910428,-73.99280555,0,1,0
02/24/2017,15:00:00,40.805418636999995,-73.954647112,0,1,0
02/24/2017,15:00:00,40.759869755,-73.828970412,0,1,0
02/24/2017,15:00:00,40.674940477,-73.89765991,0,0,1
02/24/2017,15:00:00,40.620010448,-74.00774242,0,1,0
02/24/2017,15:00:00,40.665265601,-73.739552513,0,1,0
02/24/2017,15:00:00,40.663189455,-73.910052066,0,1,0
02/24/2017,15:00:00,40.695092317,-73.979240625,1,0,0
02/24/2017,14:57:00,40.7667228,-73.982878908,0,1,0
02/24/2017,14:55:00,40.663504016,-73.962659035,0,1,0
02/24/2017,14:55:00,40.68953745,-73.98252731699999,0,1,0
02/24/2017,14:50:00,40.763320339,-73.973717904,1,0,0
02/24/2017,14:50:00,40.798841501,-73.968871281,0,1,0
02/24/2017,14:50:00,40.609706825,-74.024783877,0,1,0
02/24/2017,14:50:00,40.609706825,-74.024783877,0,1,0
02/24/2017,14:50:00,40.704475838,-73.79735550699999,0,1,0
02/24/2017,14:50:00,40.713806057,-73.951592824,0,0,1
02/24/2017,14:50:00,40.65622122,-73.914660277,0,1,0
02/24/2017,14:46:00,40.698611396,-73.94063325399999,0,1,0
02/24/2017,14:45:00,40.636015234,-73.912509906,1,0,0
02/24/2017,14:45:00,40.7193579,-73.998879514,0,1,0
02/24/2017,14:45:00,40.69314145,-73.969832965,0,0,1
02/24/2017,14:45:00,40.815702964,-73.919239026,0,0,1
02/24/2017,14:40:00,40.811130194,-73.936714506,0,1,0
02/24/2017,14:40:00,40.658611551,-73.95186354399999,0,1,0
02/24/2017,14:35:00,40.84676661,-73.906937614,0,1,0
02/24/2017,14:35:00,40.736690945999996,-73.995231092,0,1,0
02/24/2017,14:35:00,40.651779491,-73.88546037,1,0,0
02/24/2017,14:30:00,40.862013514000004,-73.894277397,0,1,0
02/24/2017,14:30:00,40.592108747,-73.936439588,0,1,0
02/24/2017,14:30:00,40.826946459,-73.938921665,0,1,0
02/24/2017,14:30:00,40.797612109,-73.941321493,1,0,0
02/24/2017,14:30:00,40.631294497,-74.130582797,0,1,0
02/24/2017,14:30:00,40.638229447,-73.91886290000001,0,1,0
02/24/2017,14:30:00,40.668583956999996,-73.926979932,1,0,0
02/24/2017,14:30:00,40.726864592,-73.992749556,1,0,0
02/24/2017,14:30:00,40.62169011,-73.948821075,0,1,0
02/24/2017,14:30:00,40.869404748,-73.879998318,0,0,1
02/24/2017,14:30:00,40.866449531,-73.861156134,0,1,0
02/24/2017,14:30:00,40.665257219000004,-73.816247322,0,0,1
02/24/2017,14:30:00,40.849348731,-73.916870405,0,0,1
02/24/2017,14:25:00,40.8685416,-73.852788888,0,0,1
02/24/2017,14:23:00,40.756642041999996,-73.988371577,0,1,0
02/24/2017,14:20:00,40.798841501,-73.968871281,0,1,0
02/24/2017,14:15:00,40.71846991,-73.952805148,0,1,0
02/24/2017,14:10:00,40.832633767,-73.925365282,0,1,0
02/24/2017,14:05:00,40.88481311,-73.879663104,0,1,0
02/24/2017,14:05:00,40.710093846999996,-74.01060963,0,1,0
02/24/2017,14:01:00,40.726529377,-73.734864538,0,1,0
02/24/2017,14:00:00,40.726965219,-73.947131102,0,1,0
02/24/2017,14:00:00,40.746720262,-74.004880792,0,1,0
02/24/2017,14:00:00,40.75288388,-73.98343468899999,1,0,0
02/24/2017,14:00:00,40.644015916,-74.076458961,0,0,1
02/24/2017,14:00:00,40.694388071999995,-73.987196009,1,0,0
02/24/2017,14:00:00,40.825311774,-73.875543208,0,0,1
02/24/2017,14:00:00,40.739773188,-73.992986319,0,1,0
02/24/2017,14:00:00,40.785523588000004,-73.978872991,0,1,0
02/24/2017,14:00:00,40.703887405,-73.927269471,0,1,0
02/24/2017,13:55:00,40.690622013,-73.985235098,0,1,0
02/24/2017,13:42:00,40.699324157,-73.831570888,0,1,0
02/24/2017,13:40:00,40.74214963,-73.98705691800001,1,0,0
02/24/2017,13:35:00,40.824990113,-73.891311946,0,1,0
02/24/2017,13:35:00,40.840921337,-73.90474842100001,0,1,0
02/24/2017,13:30:00,40.596274201,-73.75413145600001,1,0,0
02/24/2017,13:30:00,40.818910091999996,-73.90310354,1,0,0
02/24/2017,13:30:00,40.633074092,-74.13683,0,1,0
02/24/2017,13:30:00,40.753971255,-73.986978825,0,0,1
02/24/2017,13:20:00,40.741364845,-73.98912846,0,1,0
02/24/2017,13:20:00,40.878937288,-73.87502697,0,1,0
02/24/2017,13:20:00,40.878937288,-73.87502697,0,1,0
02/24/2017,13:20:00,40.740983336,-73.989258435,0,1,0
02/24/2017,13:15:00,40.689797334,-73.977518653,0,0,1
02/24/2017,13:10:00,40.828710685,-73.948922019,0,0,1
02/24/2017,13:00:00,40.75079434,-73.939854083,1,0,0
02/24/2017,13:00:00,40.810398494,-73.924895311,0,1,0
02/24/2017,13:00:00,40.689531319000004,-73.934857494,0,1,0
02/24/2017,13:00:00,40.867897702,-73.867277874,0,1,0
02/24/2017,13:00:00,40.690476851,-73.98789270600001,0,0,1
02/24/2017,13:00:00,40.626142073000004,-74.157252583,0,0,1
02/24/2017,13:00:00,40.757346324000004,-73.980181368,0,0,1
02/24/2017,13:00:00,40.736386534,-73.902804969,0,0,1
02/24/2017,13:00:00,40.7708986,-73.924210578,0,1,0
02/24/2017,13:00:00,40.586000963000004,-74.147775675,0,0,1
02/24/2017,12:54:00,40.814136943,-73.909772198,0,1,0
02/24/2017,12:45:00,40.830532932,-73.94257165,0,0,1
02/24/2017,12:45:00,40.687125541,-73.82189859100001,1,0,0
02/24/2017,12:45:00,40.848442369000004,-73.848730905,1,0,0
02/24/2017,12:45:00,40.640053899,-74.078374935,0,1,0
02/24/2017,12:40:00,40.878075016,-73.825957883,0,1,0
02/24/2017,12:40:00,40.863384492,-73.892789322,0,1,0
02/24/2017,12:39:00,40.809677443000005,-73.945945561,0,1,0
02/24/2017,12:30:00,40.876728412,-73.875584376,0,1,0
02/24/2017,12:30:00,40.829562718000005,-73.906889406,0,1,0
02/24/2017,12:30:00,40.710093846999996,-74.01060963,0,1,0
02/24/2017,12:30:00,40.816892135,-73.916379866,0,1,0
02/24/2017,12:30:00,40.815737753,-73.91797452899999,0,1,0
02/24/2017,12:28:00,40.752198698,-73.993465045,1,0,0
02/24/2017,12:25:00,40.696826777,-73.966582038,0,1,0
02/24/2017,12:20:00,40.821821426999996,-73.89587318699999,0,1,0
02/24/2017,12:20:00,40.870479052,-73.861408051,0,1,0
02/24/2017,12:18:00,40.707318857,-74.010966266,0,1,0
02/24/2017,12:15:00,40.756043535,-73.986949544,1,0,0
02/24/2017,12:15:00,40.565183394,-74.115009492,0,1,0
02/24/2017,12:05:00,40.775801931,-73.979977295,1,0,0
02/24/2017,12:00:00,40.708580741,-73.799763277,0,1,0
02/24/2017,12:00:00,40.779168082,-73.95478414600001,0,1,0
02/24/2017,12:00:00,40.829747076,-73.907463693,0,1,0
02/24/2017,12:00:00,40.679980738000005,-73.77623390699999,1,0,0
02/24/2017,12:00:00,40.761246275,-73.966813233,0,0,1
02/24/2017,12:00:00,40.678515899000004,-73.92912141800001,1,0,0
02/24/2017,12:00:00,40.678515899000004,-73.92912141800001,1,0,0
02/24/2017,12:00:00,40.60655452,-73.753322892,0,0,1
02/24/2017,12:00:00,40.770142770999996,-73.9830441,0,1,0
02/24/2017,12:00:00,40.887332814000004,-73.847246396,0,1,0
02/24/2017,12:00:00,40.706860895,-74.00500411,0,1,0
02/24/2017,11:55:00,40.758759600000005,-73.97868295,0,1,0
02/24/2017,11:55:00,40.651191323,-73.96389843,0,1,0
02/24/2017,11:50:00,40.788744074,-73.97053357,0,1,0
02/24/2017,11:47:00,40.65076912,-73.950478137,0,1,0
02/24/2017,11:40:00,40.862413323,-73.831208468,0,1,0
02/24/2017,11:40:00,40.631959305,-73.97739042100001,0,1,0
02/24/2017,11:40:00,40.819933413,-73.94968025,1,0,0
02/24/2017,11:38:00,40.903793691,-73.85009896,0,1,0
02/24/2017,11:37:00,40.81753656,-73.92769442,1,0,0
02/24/2017,11:35:00,40.777001839,-73.982814885,0,1,0
02/24/2017,11:30:00,40.808674112,-73.948652019,0,1,0
02/24/2017,11:30:00,40.595135119,-73.759324407,0,1,0
02/24/2017,11:30:00,40.67960074,-73.934874405,1,0,0
02/24/2017,11:30:00,40.735120728000005,-73.991456867,0,1,0
02/24/2017,11:30:00,40.764239239,-73.827027876,0,1,0
02/24/2017,11:30:00,40.709168037,-73.804504663,0,1,0
02/24/2017,11:30:00,40.741850090999996,-73.881003933,0,0,1
