date,time,lat,lon,LEVEL_FELONY,LEVEL_MISDEMEANOR,LEVEL_VIOLATION
08/18/2017,09:00:00,40.854025863000004,-73.887862966,1,0,0
08/17/2017,02:00:00,40.618724703000005,-73.98178221399999,1,0,0
08/15/2017,08:18:00,40.667099762,-73.932676944,0,1,0
08/15/2017,04:30:00,40.669107584,-73.839732732,1,0,0
08/11/2017,10:00:00,40.701903271,-73.840523072,1,0,0
08/08/2017,02:30:00,40.650200579,-73.943703488,0,0,1
08/03/2017,12:00:00,40.703152068,-73.898586785,1,0,0
08/01/2017,00:01:00,40.831494004,-73.862056588,0,1,0
08/01/2017,00:01:00,40.828867589,-73.87685184899999,0,1,0
08/01/2017,00:01:00,40.829113652,-73.875955258,0,1,0
08/01/2017,00:01:00,40.829926176,-73.850565296,0,1,0
07/25/2017,09:00:00,40.765400219,-73.98570226300001,0,1,0
07/20/2017,14:00:00,40.631712142,-73.957524871,0,1,0
07/19/2017,14:00:00,40.607173222,-73.99559328,0,1,0
07/11/2017,12:00:00,40.827888685,-73.87519150199999,0,1,0
07/07/2017,15:00:00,40.66712415,-73.834651291,0,1,0
06/29/2017,14:51:00,40.573763375,-73.992877757,0,1,0
06/16/2017,21:00:00,40.850449563000005,-73.885125504,0,1,0
06/16/2017,08:05:00,40.752816100000004,-73.83107109999999,0,0,1
05/22/2017,12:00:00,40.692102471999995,-73.938580007,1,0,0
03/16/2017,17:20:00,40.710831551999995,-74.016085232,0,1,0
03/07/2017,00:00:00,40.663043206,-73.90565843,1,0,0
03/05/2017,15:30:00,40.689289028000005,-73.956532639,0,0,1
01/09/2017,12:00:00,40.751678581,-73.870396825,0,0,1
01/01/2017,08:00:00,40.716974422,-73.83829011899999,0,1,0
10/13/2016,14:32:00,40.845965785,-73.868163781,1,0,0
09/16/2016,16:00:00,40.762522614,-73.966928112,1,0,0
09/16/2016,13:30:00,40.761921933,-73.968415651,0,1,0
09/15/2016,08:00:00,40.821455961999995,-73.86620348699999,0,1,0
09/15/2017,23:45:00,40.848582835,-73.902677179,1,0,0
09/15/2017,23:40:00,40.657390858,-73.911505148,0,1,0
09/15/2017,23:30:00,40.629862846,-74.019553092,1,0,0
09/15/2017,23:25:00,40.669330406,-73.904337391,0,1,0
09/15/2017,23:20:00,40.891558753000005,-73.861790891,0,1,0
09/15/2017,23:17:00,40.834827565,-73.86800877600001,0,1,0
09/15/2017,23:15:00,40.815559113,-73.921583853,0,1,0
09/15/2017,23:15:00,40.756567585,-73.875931534,0,1,0
09/15/2017,23:15:00,40.751662917,-73.78475280100001,0,0,1
09/15/2017,23:10:00,40.698317848,-73.981760468,0,0,1
09/15/2017,23:00:00,40.662767503000005,-73.907529526,0,1,0
09/15/2017,23:00:00,40.644893971,-74.08833702300001,0,1,0
09/15/2017,22:55:00,40.691392957,-73.960515884,0,1,0
09/15/2017,22:50:00,40.74809274,-74.000167465,1,0,0
09/15/2017,22:50:00,40.673138101,-73.972026643,0,0,1
09/15/2017,22:50:00,40.673138101,-73.972026643,0,0,1
09/15/2017,22:50:00,40.697843065,-73.806103023,0,0,1
09/15/2017,22:50:00,40.685844719,-73.95066482600001,0,1,0
09/15/2017,22:40:00,40.817279774,-73.906483892,0,1,0
09/15/2017,22:40:00,40.679537835,-73.791788904,0,1,0
09/15/2017,22:30:00,40.642549480999996,-74.018169521,0,1,0
09/15/2017,22:30:00,40.798911165999996,-73.963117633,0,1,0
09/15/2017,22:28:00,40.795581553000005,-73.932297815,0,1,0
09/15/2017,22:25:00,40.677344968,-73.907462445,1,0,0
09/15/2017,22:25:00,40.701406016,-73.983808132,0,0,1
09/15/2017,22:23:00,40.671025464,-73.906195082,0,1,0
09/15/2017,22:20:00,40.623188378,-74.149237695,0,1,0
09/15/2017,22:20:00,40.662927747,-73.989988286,1,0,0
09/15/2017,22:20:00,40.732293315,-73.987921193,0,0,1
09/15/2017,22:15:00,40.589788318000004,-73.788677052,1,0,0
09/15/2017,22:15:00,40.687401619,-73.940369194,0,0,1
09/15/2017,22:12:00,40.843988475,-73.869595333,0,1,0
09/15/2017,22:10:00,40.689289028000005,-73.956532639,1,0,0
09/15/2017,22:10:00,40.689984549,-73.75684013,1,0,0
09/15/2017,22:08:00,40.800485277,-73.935146227,0,1,0
09/15/2017,22:05:00,40.692371607,-73.79133773699999,0,1,0
09/15/2017,22:05:00,40.769466157,-73.73746987,0,1,0
09/15/2017,22:02:00,40.846971841999995,-73.882229127,0,1,0
09/15/2017,22:00:00,40.616466089,-73.984145703,1,0,0
09/15/2017,22:00:00,40.748830502,-73.988477604,0,1,0
09/15/2017,22:00:00,40.812209032,-73.942251496,1,0,0
09/15/2017,22:00:00,40.68372691,-73.803007213,0,1,0
09/15/2017,22:00:00,40.712443626,-73.764066264,0,1,0
09/15/2017,22:00:00,40.652466642,-73.936281178,0,1,0
09/15/2017,22:00:00,40.670946066999996,-73.921090573,0,1,0
09/15/2017,21:59:00,40.847534705,-73.88242331100001,0,1,0
09/15/2017,21:50:00,40.641482263,-73.961568751,0,1,0
09/15/2017,21:50:00,40.733926841,-73.871582398,0,1,0
09/15/2017,21:50:00,40.71023965,-73.94346521899999,1,0,0
09/15/2017,21:45:00,40.811130194,-73.936714506,0,1,0
09/15/2017,21:42:00,40.809193751,-73.92518927399999,0,1,0
09/15/2017,21:40:00,40.784251979000004,-73.974897666,0,1,0
09/15/2017,21:40:00,40.753417172,-73.942995455,1,0,0
09/15/2017,21:40:00,40.647134377,-73.893039504,1,0,0
09/15/2017,21:40:00,40.72082252,-73.98417138800001,0,1,0
09/15/2017,21:30:00,40.82506399,-73.877397261,0,1,0
09/15/2017,21:30:00,40.686748418,-73.946041603,0,1,0
09/15/2017,21:30:00,40.742693211,-73.895654021,0,1,0
09/15/2017,21:30:00,40.742872158000004,-74.00397109999999,0,1,0
09/15/2017,21:25:00,40.720813298,-73.97813591100001,0,1,0
09/15/2017,21:25:00,40.61260983,-74.14283537,0,1,0
09/15/2017,21:20:00,40.670524298000004,-73.861160245,0,0,1
09/15/2017,21:20:00,40.636666264,-74.148503993,0,0,1
09/15/2017,21:15:00,40.81532727,-73.915865216,0,1,0
09/15/2017,21:15:00,40.863344781,-73.882991887,0,1,0
09/15/2017,21:15:00,40.742682815,-73.89329390399999,1,0,0
09/15/2017,21:15:00,40.816004512,-73.941319728,0,1,0
09/15/2017,21:10:00,40.835063807,-73.861163812,0,1,0
09/15/2017,21:10:00,40.640143122,-74.011906473,0,1,0
09/15/2017,21:10:00,40.700759507,-73.818811068,0,0,1
09/15/2017,21:08:00,40.812699136999996,-73.92161973600001,0,1,0
09/15/2017,21:05:00,40.853819884,-73.893524083,0,1,0
09/15/2017,21:05:00,40.853819884,-73.893524083,0,1,0
09/15/2017,21:05:00,40.853819884,-73.893524083,0,1,0
09/15/2017,21:05:00,40.765024079,-73.98483595,0,0,1
09/15/2017,21:02:00,40.814723924,-73.924507488,0,1,0
