date,time,lat,lon,LEVEL_FELONY,LEVEL_MISDEMEANOR,LEVEL_VIOLATION,zipcode
04/18/2017,16:30:00,40.799271863,-73.930036667,0,1,0,10035
04/18/2017,10:30:00,40.899228355,-73.853654178,0,1,0,10466
04/17/2017,17:30:00,40.787237022,-73.787396743,0,1,0,11359
04/15/2017,08:00:00,40.87937846,-73.860047895,0,0,1,10467
04/14/2017,08:00:00,40.819647203,-73.91934624,1,0,0,10454
04/11/2017,17:00:00,40.57759019,-73.976476464,0,1,0,11224
04/10/2017,08:00:00,40.75992938,-73.830313069,0,1,0,11352
04/08/2017,00:01:00,40.72906475,-73.811020132,1,0,0,11367
04/02/2017,04:33:00,40.767351104,-73.968673003,0,1,0,10022
04/01/2017,22:00:00,40.891543138,-73.843131598,0,0,1,10466
04/01/2017,00:00:00,40.64205704,-74.024262603,1,0,0,11220
03/31/2017,11:00:00,40.747412983000004,-73.794702192,0,0,1,11365
03/26/2017,00:01:00,40.767456605999996,-73.881734355,0,1,0,11369
03/22/2017,17:00:00,40.738226483000005,-73.98066337899999,1,0,0,10010
03/15/2017,17:00:00,40.726975307,-73.978281813,1,0,0,10009
03/14/2017,12:00:00,40.728564796,-73.95198980800001,1,0,0,11222
03/11/2017,00:01:00,40.885244054,-73.860201906,1,0,0,10470
03/08/2017,20:07:00,40.789421656,-73.81773556899999,0,1,0,11357
03/01/2017,21:00:00,40.684998930999996,-73.93844593,0,0,1,11221
03/01/2017,08:00:00,40.753850781,-73.915989782,0,1,0,11103
03/01/2017,00:01:00,40.736934993,-73.89595893100001,0,1,0,11377
03/01/2017,00:01:00,40.735905102,-73.892312448,0,1,0,11377
02/24/2017,13:00:00,40.758368378,-73.886825612,0,0,1,11369
02/08/2017,08:00:00,40.709030676,-73.940919743,1,0,0,11206
01/28/2017,15:00:00,40.710448624,-73.85576033699999,1,0,0,11374
01/11/2017,00:00:00,40.743060718,-73.919197162,0,1,0,11104
01/01/2017,08:00:00,40.755941537,-73.873185883,0,0,1,11369
06/01/2017,19:05:00,40.862707191,-73.902808351,1,0,0,10468
01/01/2017,00:01:00,40.73573853,-73.893232857,0,1,0,11377
11/25/2016,09:31:00,40.707447364000004,-73.79214176800001,1,0,0,11433
11/03/2016,08:00:00,40.623543535,-74.164537572,1,0,0,10303
10/31/2016,12:40:00,40.695051109,-73.91779484,0,1,0,11237
09/01/2016,13:00:00,40.726975307,-73.978281813,0,0,1,10009
08/08/2016,00:01:00,40.780045767,-73.982915201,0,1,0,10023
07/13/2016,09:00:00,40.765436631,-73.739788941,0,0,1,11362
05/31/2016,09:00:00,40.503053286,-74.243903315,0,0,1,10307
05/24/2016,00:01:00,40.765024079,-73.98483595,0,1,0,10082
05/15/2016,12:00:00,40.706065014,-73.96442055199999,0,1,0,11211
03/21/2016,17:28:00,40.772854993,-73.947834804,0,1,0,10075
06/02/2015,03:15:00,40.635114113,-74.13157748,0,1,0,10302
06/01/2015,09:00:00,40.825471963000005,-73.892940737,1,0,0,10459
07/03/2014,12:00:00,40.762609692,-73.998470876,1,0,0,10018
05/14/2014,16:00:00,40.619299023,-73.98656563600001,0,0,1,11204
06/02/2012,11:15:00,40.7178848,-73.799356545,0,1,0,11432
03/15/2012,23:30:00,40.786271896,-73.955916827,1,0,0,10028
06/02/2011,14:30:00,40.610030509,-73.974289672,0,1,0,11230
11/09/2010,17:00:00,40.716344152,-74.001253193,1,0,0,10013
10/01/2010,09:00:00,40.824045452,-73.950724962,0,0,1,10031
06/01/2017,23:40:00,40.727036182,-73.744138515,1,0,0,11427
06/01/2017,23:30:00,40.635574647,-74.02015285899999,0,1,0,11220
06/01/2017,23:25:00,40.710292923000004,-73.93517987,0,1,0,11206
06/01/2017,23:25:00,40.78281448,-73.978574143,0,1,0,10023
06/01/2017,23:17:00,40.545413518000004,-74.209487178,0,1,0,10309
06/01/2017,23:15:00,40.760336849,-73.993106885,0,1,0,10018
06/01/2017,23:15:00,40.760780656,-73.984465113,0,1,0,10020
06/01/2017,23:12:00,40.679980738000005,-73.77623390699999,0,1,0,11405
06/01/2017,23:00:00,40.786823561999995,-73.94918887600001,1,0,0,10028
06/01/2017,23:00:00,40.822108371,-73.86315274100001,1,0,0,10473
06/01/2017,22:50:00,40.672573954,-73.91018000300001,1,0,0,11233
06/01/2017,22:50:00,40.713989145999996,-73.998713673,0,1,0,10015
06/01/2017,22:50:00,40.663334191,-73.909114707,0,1,0,11212
06/01/2017,22:50:00,40.676680341,-73.900418819,0,1,0,11207
06/01/2017,22:50:00,40.827697536,-73.876102433,0,1,0,10472
06/01/2017,22:45:00,40.827860136999995,-73.874179809,1,0,0,10472
06/01/2017,22:45:00,40.844502991999995,-73.936350245,0,0,1,10032
06/01/2017,22:42:00,40.814115058,-73.91718536100001,1,0,0,10454
06/01/2017,22:40:00,40.876820722,-73.858060837,1,0,0,10469
06/01/2017,22:40:00,40.765608347,-73.832244398,1,0,0,11352
06/01/2017,22:35:00,40.852432957,-73.868725703,0,1,0,10460
06/01/2017,22:30:00,40.68068575,-73.92709647699999,0,1,0,11233
06/01/2017,22:30:00,40.757117438,-73.99730872800001,1,0,0,10001
06/01/2017,22:25:00,40.828083197,-73.885420669,0,1,0,10459
06/01/2017,22:25:00,40.664127351,-73.924151663,1,0,0,11212
06/01/2017,22:24:00,40.814286944,-73.92364456,0,1,0,10454
06/01/2017,22:20:00,40.672522334,-73.891672161,0,1,0,11207
06/01/2017,22:20:00,40.839950419000004,-73.876545825,0,0,1,10460
06/01/2017,22:20:00,40.647713314,-73.962747151,0,1,0,11226
06/01/2017,22:15:00,40.65388611,-73.954497844,0,0,1,11226
06/01/2017,22:10:00,40.731822562,-73.843507598,0,1,0,11368
06/01/2017,22:10:00,40.789322945,-73.850194184,1,0,0,11356
06/01/2017,22:05:00,40.789636844,-73.943163066,1,0,0,10029
06/01/2017,22:05:00,40.698312502,-73.95314759600001,0,1,0,11211
06/01/2017,22:05:00,40.606329777,-73.757346493,0,1,0,11691
06/01/2017,22:05:00,40.736540934000004,-73.867691075,1,0,0,11373
06/01/2017,22:05:00,40.684492881,-73.796796066,1,0,0,11436
06/01/2017,22:00:00,40.799026794,-73.943624586,1,0,0,10026
06/01/2017,22:00:00,40.702706629,-73.80928433300001,0,1,0,11435
06/01/2017,22:00:00,40.701541003,-74.012187932,0,1,0,10005
06/01/2017,22:00:00,40.744862893000004,-73.903471073,0,1,0,11377
06/01/2017,22:00:00,40.788540723000004,-73.953210498,0,1,0,10028
06/01/2017,21:50:00,40.834066504,-73.944877768,0,1,0,10039
06/01/2017,21:50:00,40.709263769,-73.94608108899999,1,0,0,11211
06/01/2017,21:50:00,40.870399492,-73.90152438300001,0,0,1,10468
06/01/2017,21:45:00,40.847534705,-73.88242331100001,0,1,0,10460
06/01/2017,21:45:00,40.729587615999996,-74.000845732,1,0,0,10012
06/01/2017,21:45:00,40.655816617,-73.920769686,0,1,0,11212
06/01/2017,21:41:00,40.639064637,-73.899040894,1,0,0,11236
06/01/2017,21:40:00,40.595037778000005,-73.77216519699999,0,1,0,11691
06/01/2017,21:40:00,40.678291891,-73.746715836,1,0,0,11412
06/01/2017,21:40:00,40.757639543,-73.827979894,0,1,0,11355
06/01/2017,21:40:00,40.678291891,-73.746715836,1,0,0,11412
06/01/2017,21:40:00,40.705840517,-73.869880004,0,1,0,11379
06/01/2017,21:40:00,40.761500831999996,-73.76142700300001,1,0,0,11361
06/01/2017,21:40:00,40.705840517,-73.869880004,0,1,0,11379
06/01/2017,21:40:00,40.705820758,-73.943829643,0,1,0,11206
06/01/2017,21:40:00,40.687792685,-73.84273111600001,0,1,0,11421
06/01/2017,21:35:00,40.741506303,-73.97973860100001,0,1,0,10010
06/01/2017,21:34:00,40.802251166,-73.942245685,1,0,0,10037
06/01/2017,21:30:00,40.733174568,-74.01013340899999,0,1,0,10014
06/01/2017,21:30:00,40.678971366999995,-73.949649605,1,0,0,11216
06/01/2017,21:30:00,40.687055983,-73.832232883,0,1,0,11417
06/01/2017,21:30:00,40.732855777,-73.863884488,0,1,0,11374
06/01/2017,21:25:00,40.869404748,-73.879998318,1,0,0,10467
06/01/2017,21:20:00,40.886141362,-73.84499602,0,1,0,10466
06/01/2017,21:19:00,40.81869973,-73.918570618,1,0,0,10454
06/01/2017,21:17:00,40.759768441999995,-73.989811298,0,1,0,10018
06/01/2017,21:16:00,40.69762574,-73.914087969,0,0,1,11237
06/01/2017,21:15:00,40.725712871,-73.740312047,0,1,0,11428
06/01/2017,21:15:00,40.654579636,-73.930689359,0,1,0,11202
06/01/2017,21:15:00,40.687149616999996,-73.98331760399999,0,0,1,11240
06/01/2017,21:12:00,40.678321720999996,-73.945525654,0,1,0,11216
06/01/2017,21:10:00,40.812797101,-73.943663498,1,0,0,10037
06/01/2017,21:05:00,40.773031654,-73.933750461,0,1,0,11102
06/01/2017,21:05:00,40.702818489,-73.925391595,0,1,0,11237
06/01/2017,21:03:00,40.759738401,-73.99168473,0,1,0,10018
06/01/2017,21:00:00,40.735120728000005,-73.991456867,0,1,0,10003
06/01/2017,21:00:00,40.734895538,-73.989959434,0,1,0,10003
06/01/2017,21:00:00,40.782578381,-73.945212875,0,1,0,10028
06/01/2017,21:00:00,40.67931811,-73.791710272,0,1,0,11436
06/01/2017,21:00:00,40.609324369,-73.911856988,0,1,0,11234
06/01/2017,21:00:00,40.666069007,-73.95863124,1,0,0,11225
06/01/2017,21:00:00,40.750430768,-73.989282176,0,1,0,10072
06/01/2017,21:00:00,40.698054484000004,-73.914841143,1,0,0,11237
06/01/2017,21:00:00,40.828493932,-73.90554671,0,1,0,10456
06/01/2017,21:00:00,40.637609266999995,-73.970517431,0,1,0,11218
06/01/2017,21:00:00,40.655816617,-73.920769686,0,0,1,11212
06/01/2017,21:00:00,40.708473591,-73.94675622,0,0,1,11211
06/01/2017,21:00:00,40.689022473,-73.729172157,0,0,1,11411
06/01/2017,21:00:00,40.584610525,-73.937490788,0,0,1,11235
06/01/2017,21:00:00,40.81791914,-73.862492978,0,1,0,10473
