date,time,lat,lon,LEVEL_FELONY,LEVEL_MISDEMEANOR,LEVEL_VIOLATION
04/16/2017,10:00:00,40.825817778,-73.948974825,0,0,1
04/16/2017,10:00:00,40.621162909,-73.988135817,0,1,0
04/16/2017,10:00:00,40.71028914,-74.004113437,0,1,0
04/16/2017,10:00:00,40.887599211,-73.864992611,0,0,1
04/16/2017,10:00:00,40.697142671,-73.930349395,0,0,1
04/16/2017,10:00:00,40.63068216,-73.97355757300001,1,0,0
04/16/2017,09:50:00,40.824941458000005,-73.878322473,0,1,0
04/16/2017,09:50:00,40.824941458000005,-73.878322473,0,1,0
04/16/2017,09:45:00,40.844430327,-73.92504483399999,1,0,0
04/16/2017,09:45:00,40.667633042,-73.803905455,1,0,0
04/16/2017,09:40:00,40.753063427,-73.99654732399999,0,1,0
04/16/2017,09:40:00,40.670004583,-73.909848215,0,1,0
04/16/2017,09:37:00,40.72561285,-73.815023806,0,1,0
04/16/2017,09:37:00,40.755866754,-73.925927745,0,1,0
04/16/2017,09:30:00,40.853450242,-73.891536549,1,0,0
04/16/2017,09:30:00,40.672683545,-73.944672274,1,0,0
04/16/2017,09:30:00,40.874353685,-73.85401627899999,1,0,0
04/16/2017,09:30:00,40.874482551,-73.900303388,1,0,0
04/16/2017,09:30:00,40.831603926,-73.928799346,0,1,0
04/16/2017,09:21:00,40.888874892,-73.859883235,0,1,0
04/16/2017,09:20:00,40.846527830999996,-73.940063908,0,1,0
04/16/2017,09:20:00,40.832741241,-73.921870763,0,0,1
04/16/2017,09:18:00,40.853853379,-73.917688948,0,1,0
04/16/2017,09:11:00,40.665140178,-73.902321237,0,1,0
04/16/2017,09:05:00,40.635735941,-73.976427146,0,1,0
04/16/2017,09:00:00,40.623904164,-74.03088431100001,1,0,0
04/16/2017,09:00:00,40.700319868,-73.990905929,1,0,0
04/16/2017,09:00:00,40.578901569,-74.159045713,0,1,0
04/16/2017,09:00:00,40.612046569,-73.981467087,0,0,1
04/16/2017,09:00:00,40.650467172,-73.957267875,1,0,0
04/16/2017,09:00:00,40.574825477,-73.99092661,0,0,1
04/16/2017,08:50:00,40.755628168,-73.856416886,1,0,0
