date,time,lat,lon,LEVEL_FELONY,LEVEL_MISDEMEANOR,LEVEL_VIOLATION,zipcode
06/17/2017,02:55:00,40.744175669,-73.912479748,1,0,0,11104
06/17/2017,02:50:00,40.791529414,-73.940593737,1,0,0,10029
06/17/2017,02:50:00,40.716215654,-73.966099758,0,1,0,11211
06/17/2017,02:50:00,40.703831166,-73.808790609,1,0,0,11435
06/17/2017,02:45:00,40.752903782,-73.989245685,0,1,0,10072
06/17/2017,02:45:00,40.672083537,-73.911337851,0,1,0,11233
06/17/2017,02:45:00,40.708237808,-73.941641825,0,1,0,11206
06/17/2017,02:45:00,40.704743506,-73.826810757,0,1,0,11415
06/17/2017,02:39:00,40.835764583,-73.92827089,0,1,0,10452
06/17/2017,02:37:00,40.68942044,-73.991534838,0,1,0,11201
06/17/2017,02:30:00,40.807085412,-73.943830883,0,1,0,10037
06/17/2017,02:30:00,40.849456428,-73.921728235,0,1,0,10033
06/17/2017,02:30:00,40.891831508,-73.86265475399999,0,1,0,10470
06/17/2017,02:30:00,40.663807065,-73.88267146300001,0,1,0,11207
06/17/2017,02:30:00,40.685366767,-73.938514098,0,1,0,11221
06/17/2017,02:25:00,40.714414176,-73.990222238,0,1,0,10002
06/17/2017,02:25:00,40.888164484,-73.860268098,1,0,0,10470
06/17/2017,02:20:00,40.869404748,-73.879998318,1,0,0,10467
06/17/2017,02:16:00,40.879503534,-73.87327928399999,1,0,0,10467
06/17/2017,02:15:00,40.762757878,-73.996915027,0,1,0,10018
06/17/2017,02:15:00,40.839084494,-73.863193715,0,1,0,10462
06/17/2017,02:15:00,40.805647682,-73.934393476,0,1,0,10037
06/17/2017,02:10:00,40.755450355,-73.941647388,0,0,1,10044
06/17/2017,02:05:00,40.820445512,-73.936232347,1,0,0,10030
06/17/2017,02:00:00,40.797053412,-73.964476665,0,1,0,10024
06/17/2017,02:00:00,40.827049319000004,-73.89499419100001,0,1,0,10459
06/17/2017,02:00:00,40.674540219,-73.763699242,1,0,0,11405
06/17/2017,02:00:00,40.726724661,-73.853260911,0,1,0,11374
06/17/2017,02:00:00,40.807324046,-73.949418862,0,1,0,10027
06/17/2017,02:00:00,40.807324046,-73.949418862,0,1,0,10027
06/17/2017,02:00:00,40.655131231999995,-73.751694453,1,0,0,11413
06/17/2017,02:00:00,40.660674418,-73.916240484,1,0,0,11212
06/17/2017,02:00:00,40.726970593000004,-73.982874688,0,1,0,10009
06/17/2017,02:00:00,40.661909423000004,-73.963041992,1,0,0,11226
06/17/2017,02:00:00,40.676818353,-73.941499874,0,1,0,11213
06/17/2017,02:00:00,40.637096864,-74.006105014,1,0,0,11219
06/17/2017,02:00:00,40.835079193,-73.917159266,0,1,0,10452
06/17/2017,02:00:00,40.84268954,-73.88439438,1,0,0,10459
06/17/2017,02:00:00,40.707478538000004,-73.80364396899999,1,0,0,11451
06/17/2017,01:58:00,40.631400219,-74.030765287,0,1,0,11209
06/17/2017,01:50:00,40.659736126999995,-73.95680059,0,1,0,11225
06/17/2017,01:50:00,40.633032786,-74.02119331,0,0,1,11220
06/17/2017,01:50:00,40.800380481,-73.950789433,0,0,1,10026
06/17/2017,01:45:00,40.68593576,-73.940078444,1,0,0,11221
06/17/2017,01:45:00,40.8472597,-73.862110641,0,0,1,10462
06/17/2017,01:45:00,40.61437659,-74.03233143899999,0,1,0,11209
06/17/2017,01:45:00,40.677270619,-73.89148058100001,1,0,0,11207
