zipcode,type,count
10001,African,23
10001,American,1253
10001,Armenian,3
10001,Asian,102
10001,Bagels/Pretzels,42
10001,Bakery,34
10001,Barbecue,13
10001,"Bottled beverages, including water, sodas, juices, etc.",4
10001,Caf̩/Coffee/Tea,286
10001,Chinese,93
10001,Continental,16
10001,Delicatessen,98
10001,Donuts,69
10001,English,6
10001,French,74
10001,Greek,5
10001,Hamburgers,41
10001,Hotdogs,2
10001,Hotdogs/Pretzels,5
10001,"Ice Cream, Gelato, Yogurt, Ices",7
10001,Indian,27
10001,Irish,123
10001,Italian,76
10001,Japanese,117
10001,Jewish/Kosher,7
10001,"Juice, Smoothies, Fruit Salads",32
10001,Korean,378
10001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",31
10001,Mediterranean,33
10001,Mexican,18
10001,Middle Eastern,10
10001,Other,32
10001,Pakistani,11
10001,Peruvian,7
10001,Pizza,113
10001,Pizza/Italian,64
10001,Portuguese,7
10001,Russian,3
10001,Salads,23
10001,Sandwiches,92
10001,Sandwiches/Salads/Mixed Buffet,75
10001,Seafood,25
10001,Soups & Sandwiches,1
10001,Spanish,36
10001,Steak,19
10001,Tapas,4
10001,Tex-Mex,12
10001,Thai,15
10001,Vegetarian,25
10002,American,793
10002,Asian,81
10002,Australian,13
10002,Bagels/Pretzels,6
10002,Bakery,220
10002,Barbecue,8
10002,Brazilian,19
10002,Caf̩/Coffee/Tea,215
10002,Chicken,7
10002,Chinese,923
10002,Creole,9
10002,Delicatessen,16
10002,Donuts,18
10002,Eastern European,29
10002,English,7
10002,Filipino,5
10002,French,104
10002,German,16
10002,Greek,16
10002,Hamburgers,28
10002,"Ice Cream, Gelato, Yogurt, Ices",32
10002,Indian,17
10002,Irish,12
10002,Italian,97
10002,Japanese,122
10002,"Juice, Smoothies, Fruit Salads",18
10002,Korean,5
10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",77
10002,Mediterranean,36
10002,Mexican,79
10002,Middle Eastern,24
10002,Other,15
10002,Peruvian,7
10002,Pizza,171
10002,Pizza/Italian,26
10002,Sandwiches,59
10002,Sandwiches/Salads/Mixed Buffet,19
10002,Seafood,23
10002,Soups,3
10002,Spanish,49
10002,Steak,8
10002,Tapas,27
10002,Tex-Mex,15
10002,Thai,56
10002,Vegetarian,11
10002,Vietnamese/Cambodian/Malaysia,19
10003,Afghan,12
10003,American,1363
10003,Armenian,7
10003,Asian,172
10003,Australian,8
10003,Bagels/Pretzels,16
10003,Bakery,67
10003,Bangladeshi,26
10003,Barbecue,28
10003,"Bottled beverages, including water, sodas, juices, etc.",46
10003,Caf̩/Coffee/Tea,359
10003,Chicken,22
10003,Chinese,184
10003,Chinese/Cuban,5
10003,Chinese/Japanese,2
10003,Delicatessen,22
10003,Donuts,32
10003,Eastern European,8
10003,Ethiopian,9
10003,Filipino,19
10003,French,95
10003,Greek,18
10003,Hamburgers,63
10003,Hawaiian,3
10003,Hotdogs,20
10003,Hotdogs/Pretzels,8
10003,"Ice Cream, Gelato, Yogurt, Ices",71
10003,Indian,86
10003,Indonesian,3
10003,Iranian,9
10003,Irish,75
10003,Italian,280
10003,Japanese,570
10003,Jewish/Kosher,26
10003,"Juice, Smoothies, Fruit Salads",78
10003,Korean,46
10003,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",28
10003,Mediterranean,103
10003,Mexican,262
10003,Middle Eastern,42
10003,Moroccan,7
10003,Other,16
10003,Peruvian,4
10003,Pizza,148
10003,Pizza/Italian,53
10003,Polish,29
10003,Russian,14
10003,Salads,43
10003,Sandwiches,74
10003,Sandwiches/Salads/Mixed Buffet,43
10003,Seafood,63
10003,Soups & Sandwiches,14
10003,Spanish,9
10003,Steak,8
10003,Tapas,24
10003,Tex-Mex,29
10003,Thai,153
10003,Vegetarian,67
10003,Vietnamese/Cambodian/Malaysia,28
10004,American,334
10004,Asian,17
10004,Bagels/Pretzels,53
10004,Bakery,4
10004,Caf̩/Coffee/Tea,92
10004,Chinese,9
10004,Continental,17
10004,Delicatessen,30
10004,Donuts,6
10004,French,4
10004,German,5
10004,Hamburgers,25
10004,Hawaiian,3
10004,Hotdogs/Pretzels,6
10004,"Ice Cream, Gelato, Yogurt, Ices",12
10004,Indian,15
10004,Irish,20
10004,Italian,61
10004,Japanese,30
10004,Jewish/Kosher,17
10004,"Juice, Smoothies, Fruit Salads",9
10004,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",25
10004,Mediterranean,3
10004,Mexican,37
10004,Pizza,45
10004,Pizza/Italian,14
