,zip,latitude,longitude
3963,10597,41.29,-73.6
3964,10598,41.27,-73.78
3965,10601,41.03,-73.77
3966,10602,41.02,-73.75
3967,10603,41.05,-73.78
3968,10604,41.05,-73.74
3969,10605,41.02,-73.75
3970,10606,41.02,-73.78
3971,10607,41.04,-73.81
3972,10610,41.02,-73.75
3973,10701,40.94,-73.86
3974,10702,40.94,-73.86
3975,10703,40.96,-73.88
3976,10704,40.92,-73.86
3977,10705,40.92,-73.89
3978,10706,40.98,-73.87
3979,10707,40.96,-73.82
3980,10708,40.94,-73.83
3981,10709,40.95,-73.8
3982,10710,40.97,-73.85
3983,10801,40.92,-73.77
3984,10802,40.92,-73.77
3985,10803,40.9,-73.81
3986,10804,40.94,-73.78
3987,10805,40.9,-73.78
3988,10901,41.11,-74.14
3989,10910,41.28,-74.14
3990,10911,41.32,-74.01
3991,10912,41.25,-74.34
3992,10913,41.07,-73.95
3993,10914,41.42,-74.2
3994,10915,41.55,-74.36
3995,10916,41.44,-74.25
3996,10917,41.32,-74.12
3997,10918,41.35,-74.27
3998,10919,41.52,-74.38
3999,10920,41.14,-73.94
4000,10921,41.33,-74.35
4001,10922,41.33,-74.0
4002,10923,41.2,-74.0
4003,10924,41.4,-74.32
4004,10925,41.22,-74.28
4005,10926,41.3,-74.14
4006,10927,41.18,-73.95
4007,10928,41.35,-74.0
4008,10930,41.35,-74.12
4009,10931,41.12,-74.17
4010,10932,41.48,-74.46
4011,10933,41.37,-74.51
4012,10940,41.44,-74.42
4013,10941,41.49,-74.34
4014,10943,41.44,-74.42
4015,10949,41.33,-74.19
4016,10950,41.32,-74.18
4017,10952,41.11,-74.08
4018,10953,41.4,-74.08
4019,10954,41.09,-74.01
4020,10956,41.15,-73.99
4021,10958,41.34,-74.45
4022,10959,41.26,-74.36
4023,10960,41.09,-73.92
4024,10962,41.05,-73.94
4025,10963,41.47,-74.53
4026,10964,41.02,-73.91
4027,10965,41.06,-74.0
4028,10968,41.04,-73.92
4029,10969,41.29,-74.49
4030,10970,41.18,-74.05
4031,10973,41.37,-74.49
4032,10974,41.16,-74.19
4033,10975,41.25,-74.17
4034,10976,41.02,-73.93
4035,10977,41.12,-74.05
4036,10979,41.18,-74.31
4037,10980,41.22,-73.99
4038,10981,41.32,-74.27
4039,10982,41.11,-74.1
4040,10983,41.02,-73.95
4041,10984,41.2,-74.01
4042,10985,41.58,-74.37
4043,10986,41.27,-73.98
4044,10987,41.2,-74.2
4045,10988,41.3,-74.56
4046,10989,41.11,-73.94
4047,10990,41.25,-74.35
4048,10992,41.42,-74.15
4049,10993,41.21,-73.97
4050,10994,41.09,-73.96
4051,10996,41.39,-73.97
4052,10997,41.36,-74.02
4053,10998,41.32,-74.54
4054,11001,40.72,-73.7
4055,11002,40.72,-73.7
4056,11003,40.7,-73.7
4057,11004,40.74,-73.71
4058,11005,40.76,-73.71
4059,11010,40.7,-73.67
4060,11020,40.77,-73.71
4061,11021,40.78,-73.73
4062,11022,40.8,-73.73
4063,11023,40.8,-73.73
4064,11024,40.82,-73.74
4065,11025,40.8,-73.72
4066,11026,40.8,-73.73
4067,11027,40.8,-73.73
4068,11030,40.79,-73.69
4069,11040,40.73,-73.68
4070,11041,40.73,-73.68
4071,11042,40.76,-73.7
4072,11043,40.73,-73.68
4073,11044,40.73,-73.68
4074,11050,40.82,-73.68
4075,11051,40.82,-73.68
4076,11052,40.82,-73.68
4077,11053,40.82,-73.68
4078,11054,40.82,-73.68
4079,11055,40.82,-73.68
4080,11096,40.62,-73.75
4081,11099,40.73,-73.68
4082,11101,40.74,-73.93
4083,11102,40.77,-73.93
4084,11103,40.76,-73.91
4085,11104,40.74,-73.92
4086,11105,40.78,-73.91
4087,11106,40.76,-73.93
4088,11109,40.75,-73.96
4089,11120,40.74,-73.93
4090,11201,40.69,-73.99
4091,11202,40.64,-73.94
4092,11203,40.64,-73.94
4093,11204,40.62,-73.98
4094,11205,40.69,-73.97
4095,11206,40.7,-73.94
4096,11207,40.67,-73.89
4097,11208,40.67,-73.87
4098,11209,40.62,-74.03
4099,11210,40.63,-73.95
4100,11211,40.71,-73.95
4101,11212,40.66,-73.91
4102,11213,40.67,-73.94
4103,11214,40.6,-74.0
4104,11215,40.66,-73.99
4105,11216,40.68,-73.95
4106,11217,40.68,-73.98
4107,11218,40.64,-73.98
4108,11219,40.63,-74.0
4109,11220,40.64,-74.02
4110,11221,40.69,-73.93
4111,11222,40.73,-73.95
4112,11223,40.6,-73.97
4113,11224,40.58,-73.99
4114,11225,40.66,-73.95
4115,11226,40.65,-73.96
4116,11228,40.62,-74.01
4117,11229,40.6,-73.94
4118,11230,40.62,-73.97
4119,11231,40.68,-74.01
4120,11232,40.66,-74.01
4121,11233,40.68,-73.92
4122,11234,40.61,-73.91
4123,11235,40.58,-73.95
4124,11236,40.64,-73.9
4125,11237,40.7,-73.92
4126,11238,40.68,-73.96
4127,11239,40.65,-73.88
4128,11240,40.69,-73.98
4129,11241,40.64,-73.94
4130,11242,40.64,-73.94
4131,11243,40.64,-73.94
4132,11244,40.68,-73.99
4133,11245,40.64,-73.94
4134,11247,40.64,-73.94
4135,11248,40.69,-73.99
4136,11249,40.64,-73.94
4137,11251,40.64,-73.94
4138,11252,40.64,-73.94
4139,11254,40.69,-73.99
4140,11255,40.69,-73.98
4141,11256,40.64,-73.94
4142,11351,40.78,-73.83
4143,11352,40.77,-73.84
4144,11354,40.77,-73.84
4145,11355,40.75,-73.82
4146,11356,40.78,-73.84
4147,11357,40.79,-73.81
4148,11358,40.76,-73.8
4149,11359,40.79,-73.78
4150,11360,40.78,-73.78
4151,11361,40.76,-73.77
4152,11362,40.76,-73.74
4153,11363,40.77,-73.75
4154,11364,40.75,-73.76
4155,11365,40.74,-73.79
4156,11366,40.73,-73.79
4157,11367,40.73,-73.83
4158,11368,40.74,-73.85
4159,11369,40.76,-73.88
4160,11370,40.77,-73.89
4161,11371,40.77,-73.87
4162,11372,40.75,-73.88
4163,11373,40.74,-73.88
4164,11374,40.72,-73.86
4165,11375,40.72,-73.84
4166,11377,40.74,-73.9
4167,11378,40.72,-73.9
4168,11379,40.71,-73.88
4169,11380,40.72,-73.87
4170,11381,40.77,-73.84
4171,11385,40.7,-73.89
4172,11386,40.7,-73.89
4173,11390,40.77,-73.84
4174,11405,40.68,-73.78
4175,11411,40.69,-73.73
4176,11412,40.69,-73.75
4177,11413,40.66,-73.75
4178,11414,40.66,-73.84
4179,11415,40.71,-73.83
4180,11416,40.68,-73.85
4181,11417,40.68,-73.84
4182,11418,40.7,-73.84
4183,11419,40.69,-73.82
4184,11420,40.67,-73.81
4185,11421,40.69,-73.85
4186,11422,40.66,-73.73
4187,11423,40.71,-73.76
4188,11424,40.71,-73.83
4189,11425,40.61,-74.02
4190,11426,40.74,-73.72
4191,11427,40.73,-73.75
4192,11428,40.72,-73.74
4193,11429,40.71,-73.74
4194,11430,40.65,-73.79
4195,11431,40.68,-73.78
4196,11432,40.72,-73.79
4197,11433,40.7,-73.79
4198,11434,40.68,-73.78
4199,11435,40.7,-73.81
4200,11436,40.68,-73.8
4201,11439,40.68,-73.78
4202,11451,40.7,-73.8
4203,11499,40.68,-73.78
4204,11501,40.75,-73.64
4205,11507,40.77,-73.64
4206,11509,40.59,-73.73
4207,11510,40.66,-73.61
4208,11514,40.75,-73.61
4209,11516,40.63,-73.73
4210,11518,40.64,-73.66
4211,11520,40.65,-73.58
4212,11530,40.72,-73.64
4213,11531,40.72,-73.64
4214,11535,40.72,-73.64
4215,11536,40.67,-73.7
4216,11542,40.86,-73.63
4217,11545,40.84,-73.61
4218,11547,40.83,-73.64
4219,11548,40.81,-73.63
4220,11549,40.72,-73.6
4221,11550,40.7,-73.61
4222,11551,40.7,-73.61
4223,11552,40.69,-73.65
4224,11553,40.7,-73.59
4225,11554,40.71,-73.55
4226,11555,40.7,-73.59
4227,11556,40.72,-73.58
4228,11557,40.64,-73.69
4229,11558,40.6,-73.64
4230,11559,40.6,-73.71
4231,11560,40.88,-73.58
4232,11561,40.59,-73.65
4233,11563,40.65,-73.67
4234,11565,40.67,-73.67
4235,11566,40.65,-73.55
4236,11568,40.78,-73.59
4237,11569,40.59,-73.58
4238,11570,40.66,-73.63
4239,11571,40.66,-73.63
4240,11572,40.63,-73.63
4241,11575,40.68,-73.58
4242,11576,40.8,-73.65
4243,11577,40.78,-73.64
4244,11579,40.84,-73.64
4245,11580,40.66,-73.7
4246,11581,40.65,-73.72
4247,11582,40.66,-73.7
4248,11590,40.75,-73.58
4249,11592,40.75,-73.57
4250,11594,40.75,-73.58
4251,11595,40.75,-73.58
4252,11596,40.76,-73.64
4253,11597,40.75,-73.58
4254,11598,40.63,-73.72
4255,11599,40.72,-73.64
4256,11690,40.59,-73.81
4257,11691,40.6,-73.76
4258,11692,40.59,-73.79
4259,11693,40.59,-73.81
4260,11694,40.58,-73.84
4261,11695,40.59,-73.81
4262,11697,40.56,-73.91
4263,11701,40.66,-73.41
4264,11702,40.69,-73.32
4265,11703,40.73,-73.32
4266,11704,40.71,-73.35
4267,11705,40.74,-73.05
4268,11706,40.72,-73.25
4269,11707,40.71,-73.35
4270,11708,40.68,-73.41
4271,11709,40.9,-73.56
4272,11710,40.65,-73.52
4273,11713,40.75,-72.94
4274,11714,40.74,-73.48
4275,11715,40.75,-73.03
4276,11716,40.77,-73.12
4277,11717,40.78,-73.24
4278,11718,40.71,-73.26
4279,11719,40.78,-72.91
4280,11720,40.87,-73.08
4281,11721,40.9,-73.37
4282,11722,40.78,-73.19
4283,11724,40.86,-73.44
4284,11725,40.84,-73.28
4285,11726,40.67,-73.39
4286,11727,40.87,-73.0
4287,11729,40.76,-73.32
4288,11730,40.72,-73.18
4289,11731,40.87,-73.32
4290,11732,40.84,-73.54
4291,11733,40.93,-73.1
4292,11735,40.73,-73.44
4293,11736,40.73,-73.44
4294,11737,40.73,-73.44
4295,11738,40.84,-73.04
4296,11739,40.73,-73.16
4297,11740,40.86,-73.36
4298,11741,40.79,-73.07
4299,11742,40.81,-73.04
4300,11743,40.87,-73.4
4301,11746,40.84,-73.4
4302,11747,40.78,-73.41
4303,11749,40.8,-73.17
4304,11750,40.83,-73.37
4305,11751,40.73,-73.21
4306,11752,40.76,-73.17
4307,11753,40.78,-73.54
4308,11754,40.89,-73.24
4309,11755,40.85,-73.11
4310,11756,40.72,-73.51
4311,11757,40.68,-73.37
4312,11758,40.66,-73.47
4313,11760,40.82,-73.21
4314,11762,40.68,-73.45
4315,11763,40.82,-72.98
4316,11764,40.93,-72.98
4317,11765,40.88,-73.55
4318,11766,40.93,-73.01
4319,11767,40.84,-73.15
4320,11768,40.9,-73.34
4321,11769,40.73,-73.13
4322,11770,40.65,-73.16
4323,11771,40.86,-73.53
4324,11772,40.76,-73.01
4325,11773,40.81,-73.5
4326,11774,40.73,-73.44
4327,11775,40.78,-73.41
4328,11776,40.92,-73.06
4329,11777,40.94,-73.05
4330,11778,40.92,-72.92
4331,11779,40.8,-73.12
4332,11780,40.87,-73.15
4333,11782,40.74,-73.08
4334,11783,40.66,-73.49
4335,11784,40.86,-73.04
4336,11786,40.95,-72.9
4337,11787,40.85,-73.21
4338,11788,40.82,-73.21
4339,11789,40.96,-72.97
4340,11790,40.9,-73.12
4341,11791,40.81,-73.5
4342,11792,40.94,-72.81
4343,11793,40.66,-73.51
4344,11794,40.91,-73.12
4345,11795,40.7,-73.29
4346,11796,40.72,-73.1
4347,11797,40.81,-73.47
4348,11798,40.74,-73.37
4349,11801,40.76,-73.52
4350,11802,40.76,-73.52
4351,11803,40.78,-73.47
4352,11804,40.75,-73.45
4353,11815,40.76,-73.52
4354,11819,40.76,-73.52
4355,11853,40.78,-73.54
4356,11854,40.76,-73.52
4357,11855,40.76,-73.52
4358,11901,40.94,-72.67
4359,11930,40.99,-72.1
4360,11931,40.93,-72.61
4361,11932,40.94,-72.29
4362,11933,40.92,-72.76
4363,11934,40.79,-72.79
4364,11935,41.01,-72.48
4365,11937,40.95,-72.19
4366,11939,41.12,-72.34
4367,11940,40.81,-72.76
4368,11941,40.83,-72.73
4369,11942,40.85,-72.57
4370,11944,41.1,-72.36
4371,11946,40.86,-72.52
4372,11947,40.95,-72.57
4373,11948,40.97,-72.55
4374,11949,40.85,-72.79
4375,11950,40.8,-72.84
4376,11951,40.76,-72.84
4377,11952,41.0,-72.53
4378,11953,40.88,-72.94
4379,11954,41.04,-71.94
4380,11955,40.8,-72.82
4381,11956,40.99,-72.48
4382,11957,41.14,-72.3
4383,11958,41.03,-72.46
4384,11959,40.83,-72.6
4385,11960,40.81,-72.71
4386,11961,40.91,-72.88
4387,11962,40.92,-72.27
4388,11963,40.99,-72.29
4389,11964,41.06,-72.32
4390,11965,41.1,-72.29
4391,11967,40.79,-72.87
4392,11968,40.88,-72.39
4393,11969,40.88,-72.39
4394,11970,40.94,-72.58
4395,11971,41.05,-72.42
4396,11972,40.85,-72.7
4397,11973,40.86,-72.87
4398,11975,40.94,-72.24
4399,11976,40.92,-72.34
4400,11977,40.83,-72.68
4401,11978,40.83,-72.65
4402,11980,40.83,-72.92
4403,12007,42.46,-73.93
4404,12008,42.85,-73.91
4405,12009,42.7,-74.03
4406,12010,42.94,-74.19
4407,12015,42.26,-73.81
4408,12016,42.87,-74.35
4409,12017,42.32,-73.47
4410,12018,42.63,-73.55
4411,12019,42.92,-73.84
4412,12020,43.0,-73.85
4413,12022,42.66,-73.33
4414,12023,42.62,-74.13
4415,12024,42.48,-73.54
4416,12025,43.05,-74.19
4417,12027,42.91,-73.9
4418,12028,42.96,-73.45
4419,12029,42.41,-73.41
4420,12031,42.77,-74.45
4421,12032,43.12,-74.53
4422,12033,42.53,-73.7
4423,12035,42.73,-74.36
4424,12036,42.54,-74.67
4425,12037,42.36,-73.59
4426,12040,42.64,-73.35
4427,12041,42.58,-73.95
4428,12042,42.42,-73.94
4429,12043,42.67,-74.48
4430,12045,42.48,-73.8
4431,12046,42.48,-73.92
4432,12047,42.77,-73.7
4433,12050,42.32,-73.76
4434,12051,42.35,-73.8
4435,12052,42.76,-73.47
4436,12053,42.74,-74.18
4437,12054,42.62,-73.83
4438,12055,42.43,-74.19
4439,12056,42.76,-74.13
4440,12057,42.94,-73.39
4441,12058,42.35,-73.9
4442,12059,42.61,-74.05
4443,12060,42.42,-73.48
4444,12061,42.59,-73.7
4445,12062,42.53,-73.5
4446,12063,42.57,-73.64
4447,12064,42.61,-74.67
4448,12065,42.85,-73.8
4449,12066,42.76,-74.25
4450,12067,42.57,-73.88
4451,12068,42.96,-74.4
4452,12069,42.95,-74.28
4453,12070,42.99,-74.26
4454,12071,42.55,-74.42
4455,12072,42.94,-74.37
4456,12073,42.66,-74.21
4457,12074,43.01,-74.03
4458,12075,42.3,-73.64
4459,12076,42.39,-74.39
4460,12077,42.59,-73.78
4461,12078,43.05,-74.34
4462,12082,42.76,-73.43
4463,12083,42.41,-74.02
4464,12084,42.69,-73.89
4465,12085,42.7,-73.96
4466,12086,42.97,-74.15
4467,12087,42.42,-73.88
4468,12089,42.87,-73.31
4469,12090,42.9,-73.35
4470,12092,42.7,-74.37
4471,12093,42.48,-74.61
4472,12094,42.88,-73.49
4473,12095,43.0,-74.37
4474,12106,42.39,-73.7
4475,12107,42.67,-74.11
4476,12108,43.55,-74.43
4477,12110,42.74,-73.74
4478,12115,42.48,-73.58
4479,12116,42.53,-74.88
4480,12117,43.1,-74.26
4481,12118,42.9,-73.69
4482,12120,42.45,-74.14
4483,12121,42.85,-73.6
4484,12122,42.59,-74.32
4485,12123,42.51,-73.61
4486,12124,42.45,-73.79
4487,12125,42.46,-73.39
4488,12128,42.7,-73.76
4489,12130,42.44,-73.66
4490,12131,42.46,-74.46
4491,12132,42.47,-73.63
4492,12133,42.88,-73.34
4493,12134,43.22,-74.17
4494,12136,42.42,-73.56
4495,12137,42.84,-74.13
4496,12138,42.72,-73.36
4497,12139,43.42,-74.53
4498,12140,42.69,-73.56
4499,12141,42.77,-74.16
4500,12143,42.47,-73.81
4501,12144,42.64,-73.73
4502,12147,42.51,-74.15
4503,12148,42.84,-73.85
4504,12149,42.63,-74.56
4505,12150,42.88,-74.05
4506,12151,42.93,-73.79
4507,12153,42.63,-73.49
4508,12154,42.89,-73.58
4509,12155,42.54,-74.82
4510,12156,42.47,-73.74
4511,12157,42.66,-74.31
4512,12158,42.53,-73.8
4513,12159,42.64,-73.88
4514,12160,42.76,-74.37
4515,12161,42.53,-73.85
4516,12164,43.58,-74.38
4517,12165,42.31,-73.51
4518,12166,42.83,-74.45
4519,12167,42.4,-74.61
4520,12168,42.56,-73.38
4521,12169,42.59,-73.45
4522,12170,42.95,-73.64
4523,12172,42.29,-73.74
4524,12173,42.38,-73.76
4525,12174,42.35,-73.73
4526,12175,42.58,-74.58
4527,12176,42.38,-73.98
4528,12177,42.95,-74.29
4529,12180,42.73,-73.67
4530,12181,42.73,-73.67
4531,12182,42.8,-73.63
4532,12183,42.75,-73.69
4533,12184,42.41,-73.67
4534,12185,42.9,-73.56
4535,12186,42.64,-73.93
4536,12187,42.61,-74.47
4537,12188,42.82,-73.7
4538,12189,42.72,-73.7
4539,12190,43.39,-74.29
4540,12192,42.4,-73.81
4541,12193,42.51,-74.04
4542,12194,42.53,-74.45
4543,12195,42.48,-73.48
4544,12196,42.63,-73.6
4545,12197,42.59,-74.75
4546,12198,42.68,-73.63
4547,12201,42.66,-73.79
4548,12202,42.63,-73.76
4549,12203,42.68,-73.85
4550,12204,42.69,-73.73
4551,12205,42.72,-73.83
4552,12206,42.67,-73.78
4553,12207,42.66,-73.75
4554,12208,42.66,-73.79
4555,12209,42.64,-73.79
4556,12210,42.66,-73.76
4557,12211,42.7,-73.76
4558,12212,42.66,-73.79
4559,12214,42.66,-73.79
4560,12220,42.66,-73.79
4561,12222,42.69,-73.82
4562,12223,42.66,-73.79
4563,12224,42.66,-73.79
4564,12225,42.66,-73.79
4565,12226,42.66,-73.79
4566,12227,42.66,-73.79
4567,12228,42.66,-73.79
4568,12229,42.66,-73.79
4569,12230,42.66,-73.79
4570,12231,42.66,-73.79
4571,12232,42.66,-73.79
4572,12233,42.66,-73.79
4573,12234,42.66,-73.79
4574,12235,42.66,-73.79
4575,12236,42.66,-73.79
4576,12237,42.66,-73.79
4577,12238,42.66,-73.79
4578,12239,42.66,-73.79
4579,12240,42.66,-73.79
4580,12241,42.66,-73.79
4581,12242,42.66,-73.79
4582,12243,42.66,-73.79
4583,12244,42.66,-73.79
4584,12245,42.66,-73.79
4585,12246,42.66,-73.79
4586,12247,42.66,-73.79
4587,12248,42.66,-73.79
4588,12249,42.66,-73.79
4589,12250,42.66,-73.79
4590,12252,42.66,-73.79
4591,12255,42.66,-73.79
4592,12256,42.66,-73.79
4593,12257,42.66,-73.79
4594,12260,42.66,-73.79
4595,12261,42.66,-73.79
4596,12288,42.66,-73.79
4597,12301,42.8,-73.92
4598,12302,42.88,-73.98
4599,12303,42.75,-73.93
4600,12304,42.8,-73.92
4601,12305,42.81,-73.95
4602,12306,42.81,-74.04
4603,12307,42.8,-73.93
4604,12308,42.82,-73.92
4605,12309,42.8,-73.86
4606,12325,42.8,-73.92
4607,12345,42.8,-73.92
4608,12401,41.93,-73.99
4609,12402,41.93,-73.99
4610,12404,41.8,-74.23
4611,12405,42.33,-74.09
4612,12406,42.14,-74.62
4613,12407,42.32,-74.36
4614,12409,42.04,-74.18
4615,12410,42.07,-74.44
4616,12411,41.88,-74.04
4617,12412,41.99,-74.26
