,Address ZIP,Address City,DCA License Number,License Type,License Expiration Date
52408,11758,MASSAPEQUA,1468345-DCA,Business,02/28/2019
52409,11207,BROOKLYN,2023403-DCA,Business,12/31/2017
52410,10128,NEW YORK,1462928-DCA,Individual,05/31/2019
52411,10454,BRONX,0924460-DCA,Individual,09/30/2018
52412,10022,NEW YORK,2046492-1-DCA,Business,12/31/2017
52413,11209,BROOKLYN,0756650-DCA,Individual,02/28/2019
52414,10310,STATEN ISLAND,1412379-DCA,Business,12/31/2017
52415,10016,NEW YORK,2003367-DCA,Business,01/06/2018
52416,11530,GARDEN CITY,2032942-DCA,Business,01/31/2019
52417,11218,BROOKLYN,0980276-DCA,Business,03/31/2018
52418,10001,NEW YORK,1266254-DCA,Business,03/31/2019
52420,11001,FLORAL PARK,1029287-DCA,Business,02/28/2019
52421,11102,ASTORIA,1467977-DCA,Business,02/28/2019
52422,10468,BRONX,1127414-DCA,Business,12/31/2018
52423,10310,STATEN ISLAND,1277789-DCA,Business,07/31/2019
52424,10011,NEW YORK,2059273-DCA,Business,12/31/2019
52425,11211,BROOKLYN,2055628-DCA,Business,02/28/2019
52427,11213,BROOKLYN,1022667-DCA,Individual,02/28/2019
52428,10304,STATEN ISLAND,0867764-DCA,Individual,02/28/2019
52429,11416,OZONE PARK,2055488-DCA,Business,02/28/2019
52430,10312,STATEN ISLAND,2057957-DCA,Business,01/31/2019
52431,11001,FLORAL PARK,2052870-DCA,Individual,02/28/2019
52432,10030,NEW YORK,1046906-DCA,Business,12/31/2018
52433,11206,BROOKLYN,1147545-DCA,Business,02/28/2019
52434,10962,ORANGEBURG,1359294-DCA,Individual,02/28/2019
52435,10461,BRONX,2017057-DCA,Business,02/28/2019
52436,10453,BRONX,2038611-DCA,Business,07/31/2019
52437,11428,QUEENS VILLAGE,2031573-DCA,Business,02/28/2019
52438,10314,STATEN ISLAND,2008461-DCA,Individual,10/31/2018
52439,10029,NEW YORK,1351819-DCA,Business,04/30/2018
52440,11205,BROOKLYN,2025571-DCA,Business,04/15/2019
52441,11213,BROOKLYN,1007608-DCA,Individual,09/30/2018
52442,11105,ASTORIA,2023522-DCA,Individual,02/28/2019
52443,11211,BROOKLYN,2032467-DCA,Business,03/31/2018
52444,11418,RICHMOND HILL,1292929-DCA,Business,02/28/2019
52446,11434,JAMAICA,0967224-DCA,Business,06/30/2018
52447,11230,BROOKLYN,1162873-DCA,Business,12/31/2017
52448,11355,FLUSHING,0793692-DCA,Individual,05/31/2019
52449,11210,BROOKLYN,1370475-DCA,Individual,02/28/2019
52450,10464,BRONX,1347186-DCA,Individual,02/28/2019
52451,10977,SPRING VALLEY,2012294-DCA,Business,02/28/2019
52452,11501,MINEOLA,2006042-DCA,Business,02/28/2019
52453,11368,CORONA,1183307-DCA,Business,12/31/2017
52454,11369,EAST ELMHURST,2020658-DCA,Business,02/28/2019
52455,11375,FOREST HILLS,2029261-DCA,Business,12/11/2017
52456,10303,STATEN ISLAND,1330457-DCA,Business,07/31/2019
52457,10468,BRONX,1065399-DCA,Individual,09/30/2018
52458,10033,NEW YORK,2002483-629-DCA,Business,12/31/2017
52459,11230,BROOKLYN,1473966-DCA,Business,12/31/2017
52460,10595,VALHALLA,1207707-DCA,Individual,02/28/2019
52461,11354,FLUSHING,2055276-DCA,Business,02/28/2019
52462,10016,NEW YORK,1093320-DCA,Business,12/31/2018
52463,11355,FLUSHING,2029103-DCA,Business,04/30/2018
52464,11204,BROOKLYN,2048778-DCA,Individual,02/28/2019
52465,10033,NEW YORK,2051046-DCA,Individual,02/28/2019
52466,11209,BROOKLYN,2040439-DCA,Business,06/30/2018
52467,11795,WEST ISLIP,1246690-DCA,Individual,02/28/2019
52468,11204,BROOKLYN,2059245-DCA,Individual,05/31/2019
52469,11368,CORONA,2046105-1-DCA,Business,12/31/2017
52470,11103,ASTORIA,1246195-DCA,Business,02/28/2019
52471,11234,BROOKLYN,2005673-DCA,Individual,02/28/2019
52472,10314,STATEN ISLAND,2034393-DCA,Individual,02/28/2019
52473,11372,JACKSON HEIGHTS,0889149-DCA,Business,08/01/2019
52474,11201,BROOKLYN,1392395-DCA,Business,07/31/2019
52475,11003,ELMONT,1136082-DCA,Business,02/28/2019
52476,11419,SOUTH RICHMOND HILL,1374262-DCA,Business,12/31/2017
52477,10452,BRONX,2003752-997-DCA,Business,12/31/2017
52478,11207,BROOKLYN,1378268-DCA,Business,07/31/2019
52479,10029,NEW YORK,2002142-DCA,Business,12/31/2017
52480,10035,NEW YORK,1328653-DCA,Business,12/31/2017
52481,11432,JAMAICA,1373505-DCA,Business,12/31/2017
52482,10306,STATEN ISLAND,0675450-DCA,Business,02/28/2019
52483,11704,WEST BABYLON,1328593-DCA,Business,02/28/2019
52484,10536,KATONAH,2052133-DCA,Business,02/28/2019
52485,10309,STATEN ISLAND,1286382-DCA,Individual,02/28/2019
52486,10462,BRONX,2051712-DCA,Individual,04/30/2018
52487,11385,GLENDALE,2032189-DCA,Business,03/31/2018
52488,10028,NEW YORK,1317304-DCA,Individual,05/31/2019
52489,11949,MANORVILLE,2022299-DCA,Individual,02/28/2019
52490,11412,SAINT ALBANS,1102247-DCA,Business,02/28/2019
52491,10036,NEW YORK,1359450-DCA,Business,11/01/2017
52492,11214,BROOKLYN,2019786-2-DCA,Business,12/31/2018
52493,10305,STATEN ISLAND,2045776-DCA,Business,12/31/2017
52494,11418,RICHMOND HILL,1292924-DCA,Individual,02/28/2019
52496,11207,BROOKLYN,1475063-DCA,Business,02/28/2019
52497,10032,NEW YORK,0778291-DCA,Individual,02/28/2019
52498,11215,BROOKLYN,0921635-DCA,Individual,02/28/2019
52499,11233,BROOKLYN,2017377-DCA,Business,12/31/2018
52500,10013,NEW YORK,2008765-1853-DCA,Business,12/31/2017
