zipcode,type,count
10001,African,1
10001,American,1
10001,Armenian,1
10001,Asian,1
10001,Bagels/Pretzels,1
10001,Bakery,1
10001,Barbecue,1
10001,"Bottled beverages, including water, sodas, juices, etc.",1
10001,Caf̩/Coffee/Tea,1
10001,Chinese,1
10001,Continental,1
10001,Delicatessen,1
10001,Donuts,1
10001,English,1
10001,French,1
10001,Greek,1
10001,Hamburgers,1
10001,Hotdogs,1
10001,Hotdogs/Pretzels,1
10001,"Ice Cream, Gelato, Yogurt, Ices",1
10001,Indian,1
10001,Irish,1
10001,Italian,1
10001,Japanese,1
10001,Jewish/Kosher,1
10001,"Juice, Smoothies, Fruit Salads",1
10001,Korean,1
10001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
10001,Mediterranean,1
10001,Mexican,1
10001,Middle Eastern,1
10001,Other,1
10001,Pakistani,1
10001,Peruvian,1
10001,Pizza,1
10001,Pizza/Italian,1
10001,Portuguese,1
10001,Russian,1
10001,Salads,1
10001,Sandwiches,1
10001,Sandwiches/Salads/Mixed Buffet,1
10001,Seafood,1
10001,Soups & Sandwiches,1
10001,Spanish,1
10001,Steak,1
10001,Tapas,1
10001,Tex-Mex,1
10001,Thai,1
10001,Vegetarian,1
10002,American,1
10002,Asian,1
10002,Australian,1
10002,Bagels/Pretzels,1
10002,Bakery,1
10002,Barbecue,1
10002,Brazilian,1
10002,Caf̩/Coffee/Tea,1
10002,Chicken,1
10002,Chinese,1
10002,Creole,1
10002,Delicatessen,1
10002,Donuts,1
10002,Eastern European,1
10002,English,1
10002,Filipino,1
10002,French,1
10002,German,1
10002,Greek,1
10002,Hamburgers,1
10002,"Ice Cream, Gelato, Yogurt, Ices",1
10002,Indian,1
10002,Irish,1
10002,Italian,1
10002,Japanese,1
10002,"Juice, Smoothies, Fruit Salads",1
10002,Korean,1
10002,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
10002,Mediterranean,1
10002,Mexican,1
