Address ZIP,count1,count5,count15
10001,3,23,138
10002,2,11,97
10003,4,49,198
10004,2,14,66
10005,6,43,187
10006,0,32,171
10007,0,22,155
10008,0,8,84
10009,0,10,95
10010,1,9,111
10011,7,47,189
10012,0,51,269
10013,8,56,191
10014,2,16,138
10016,4,25,162
10017,0,0,24
10018,3,15,94
10019,0,8,81
10020,4,33,203
10021,6,53,240
10022,4,33,210
10023,4,23,142
10024,1,12,114
10025,0,8,100
10026,2,19,141
10027,1,14,123
10028,6,44,185
10029,0,8,109
10030,0,16,118
10031,4,25,119
10032,1,23,117
10033,0,10,114
10034,1,16,87
10035,0,4,49
10036,0,12,82
10037,2,14,113
10038,0,10,123
10039,1,25,130
10040,1,15,99
10041,0,6,72
10044,0,7,86
10055,0,0,43
10065,1,13,133
10069,0,11,70
10075,0,22,174
10080,0,0,27
10101,0,0,6
10103,0,25,180
10105,0,0,0
10106,0,0,0
10107,0,0,0
10108,0,0,0
10112,0,10,137
10116,0,0,0
10118,0,0,0
10119,0,7,170
10120,0,0,0
10121,0,0,0
10122,0,0,0
10123,0,0,0
10128,0,34,167
10150,0,0,0
10151,0,0,0
10152,0,25,184
10153,0,17,161
10154,0,10,141
10155,0,0,0
10156,0,0,0
10158,0,0,0
10159,0,0,0
10162,0,12,155
10163,0,0,0
10165,0,13,113
10166,0,0,0
10167,0,0,14
10168,0,8,92
10169,0,4,72
10170,0,0,63
10171,0,4,122
10172,0,0,104
10173,0,0,54
10174,0,0,45
10175,0,0,0
10176,0,0,0
10178,0,0,0
10185,0,0,0
10271,0,0,95
10276,0,0,0
10279,0,0,82
10280,2,18,95
10281,0,0,0
10282,0,8,63
10301,4,26,99
10302,0,4,72
10303,0,0,40
10304,0,22,102
10305,2,17,95
10306,1,6,59
10307,0,6,27
10308,0,7,37
10309,2,10,33
10310,0,14,90
10311,0,0,35
10312,0,9,39
10313,0,4,53
10314,0,3,44
10451,0,10,109
10452,1,5,87
10453,1,7,82
10454,0,1,44
10455,0,0,11
10456,0,4,45
10457,0,2,69
10458,0,10,74
10459,0,0,7
10460,0,0,14
10461,0,0,9
10462,0,0,3
10463,0,13,90
10464,1,5,15
10465,0,0,2
10466,0,0,31
10467,2,12,56
10468,1,15,93
10469,0,1,33
10470,0,10,59
10471,2,12,66
10472,0,0,0
10473,0,0,0
10474,0,0,1
10475,0,4,14
10501,0,0,0
10502,0,0,0
10504,0,0,0
10505,0,0,0
10506,0,0,0
10507,0,0,0
10509,0,0,0
10510,0,0,0
10511,0,0,0
10512,0,0,0
10514,0,0,0
10516,0,0,0
10517,0,0,0
10520,0,0,0
10522,0,0,0
10523,0,0,0
10524,0,0,0
10526,0,0,0
10528,0,0,0
10530,0,0,0
10532,0,0,0
10533,0,0,0
10535,0,0,0
10536,0,0,0
10537,0,0,0
10538,0,0,0
10540,0,0,0
10541,0,0,0
10542,0,0,0
10543,0,0,0
10546,0,0,0
10547,0,0,0
10548,0,0,0
10549,0,0,0
10550,0,0,4
10551,0,0,8
10552,0,0,3
10553,0,0,7
10560,0,0,0
10562,0,0,0
10566,0,0,0
10567,0,0,0
10570,0,0,0
10573,0,0,0
10576,0,0,0
10577,0,0,0
10579,0,0,0
10580,0,0,0
10583,0,0,0
10587,0,0,0
10588,0,0,0
10589,0,0,0
10590,0,0,0
10591,0,0,0
10594,0,0,0
10595,0,0,0
10596,0,0,0
10598,0,0,0
10601,0,0,0
10602,0,0,0
10603,0,0,0
10604,0,0,0
10605,0,0,0
10606,0,0,0
10607,0,0,0
10701,0,0,0
10702,0,0,0
10703,0,0,0
10704,0,0,7
10705,0,2,31
10706,0,0,0
10707,0,0,0
10708,0,0,0
10709,0,0,0
10710,0,0,0
10725,0,0,0
10801,0,0,1
10802,0,0,0
10803,0,3,13
10804,0,0,0
10805,0,0,10
10901,0,0,0
10913,0,0,0
10914,0,0,0
10916,0,0,0
10917,0,0,0
10918,0,0,0
10920,0,0,0
10921,0,0,0
10922,0,0,0
10923,0,0,0
10924,0,0,0
10925,0,0,0
10926,0,0,0
10928,0,0,0
10930,0,0,0
10940,0,0,0
10941,0,0,0
10949,0,0,0
10950,0,0,0
10952,0,0,0
10954,0,0,0
10956,0,0,0
10958,0,0,0
10960,0,0,0
10962,0,0,0
10963,0,0,0
10964,0,0,0
10965,0,0,0
10968,0,0,0
10969,0,0,0
10970,0,0,0
10974,0,0,0
10976,0,0,0
10977,0,0,0
10980,0,0,0
10983,0,0,0
10984,0,0,0
10986,0,0,0
10987,0,0,0
10989,0,0,0
10990,0,0,0
10992,0,0,0
10993,0,0,0
10994,0,0,0
11001,0,0,4
11002,0,0,3
11003,0,0,0
11004,0,4,14
11005,0,2,12
11010,0,0,0
11020,0,0,10
11021,0,0,5
11022,0,0,0
11023,0,0,0
11024,0,0,0
11030,0,0,0
11040,0,0,0
11042,0,0,8
11050,0,0,0
11096,0,0,0
11101,2,13,61
11102,1,9,61
11103,0,7,44
11104,0,8,48
11105,0,1,20
11106,1,13,74
11109,1,5,40
11201,2,11,65
11202,0,4,32
11203,0,3,27
11204,0,1,20
11205,1,6,49
11206,0,0,9
11207,0,0,0
11208,0,0,0
11209,1,11,82
11210,0,0,6
11211,0,0,0
11212,1,5,15
11213,2,10,51
11214,0,3,34
11215,0,3,36
11216,0,13,60
11217,1,10,59
11218,0,0,19
11219,0,0,34
11220,0,2,61
11221,0,2,22
11222,0,4,32
11223,0,4,16
11224,1,5,27
11225,1,15,55
11226,0,4,43
11228,0,3,50
11229,0,0,9
11230,0,0,11
11231,1,5,36
11232,0,3,49
11233,0,0,20
11234,0,0,0
11235,0,3,13
11236,0,0,3
11237,0,0,0
11238,1,13,69
11239,0,0,0
11241,0,2,23
11242,0,1,19
11247,0,0,10
11249,0,0,8
11252,0,0,5
11350,0,0,0
11352,0,15,55
11354,0,11,51
11355,2,10,41
11356,0,0,21
11357,0,0,14
11358,0,0,16
11359,0,0,0
11360,0,0,1
11361,0,0,1
11362,0,3,13
11363,0,0,7
11364,0,0,6
11365,0,0,8
11366,0,0,8
11367,0,4,36
11368,2,10,40
11369,0,4,19
11370,1,5,15
11371,0,0,26
11372,0,2,26
11373,0,0,19
11374,0,0,16
11375,0,0,19
11377,0,0,22
11378,0,0,2
11379,0,0,0
11385,0,0,0
11386,0,0,0
11410,0,0,0
11411,0,0,0
11412,0,0,0
11413,0,0,0
11414,0,0,0
11415,0,0,9
11416,0,0,0
11417,0,0,0
11418,0,0,0
11419,0,2,12
11420,0,0,1
11421,0,0,0
11422,0,0,0
11423,0,0,0
11426,1,5,15
11427,0,1,11
11428,0,0,9
11429,0,0,2
11430,0,0,0
11431,0,0,5
11432,0,1,11
11433,0,3,13
11434,0,0,4
11435,0,4,14
11436,0,0,10
11501,0,0,0
11507,0,0,0
11509,0,0,0
11510,0,0,0
11514,0,0,0
11516,0,0,0
11518,0,0,0
11520,0,0,0
11530,0,0,0
11542,0,0,0
11545,0,0,0
11547,0,0,0
11548,0,0,0
11550,0,0,0
11551,0,0,0
11552,0,0,0
11553,0,0,0
11554,0,0,0
11556,0,0,0
11557,0,0,0
11558,0,0,0
11559,0,0,0
11560,0,0,0
11561,0,0,0
11563,0,0,0
11565,0,0,0
11566,0,0,0
11568,0,0,0
11570,0,0,0
11572,0,0,0
11575,0,0,0
11576,0,0,0
11577,0,0,0
11579,0,0,0
11580,0,0,0
11581,0,0,0
11582,0,0,0
11590,0,0,0
11596,0,0,0
11598,0,0,0
11691,0,0,0
11692,0,0,0
11693,0,0,0
11694,0,0,0
11697,0,0,2
11701,0,0,0
11702,0,0,0
11703,0,0,0
11704,0,0,0
11705,0,0,0
11706,0,0,0
11709,0,0,0
11710,0,0,0
11713,0,0,0
11714,0,0,0
11715,0,0,0
11716,0,0,0
11717,0,0,0
11718,0,0,0
11719,0,0,0
11720,0,0,0
11721,0,0,0
11722,0,0,0
11724,0,0,0
11725,0,0,0
11726,0,0,0
11727,0,0,0
11729,0,0,0
11730,0,0,0
11731,0,0,0
11732,0,0,0
11733,0,0,0
11735,0,0,0
11738,0,0,0
11739,0,0,0
11740,0,0,0
11741,0,0,0
11742,0,0,0
11743,0,0,0
11746,0,0,0
11747,0,0,0
11749,0,0,0
11751,0,0,0
11752,0,0,0
11753,0,0,0
11754,0,0,0
11755,0,0,0
11756,0,0,0
11757,0,0,0
11758,0,0,0
11762,0,0,0
11763,0,0,0
11764,0,0,0
11765,0,0,0
11766,0,0,0
11767,0,0,0
11768,0,0,0
11769,0,0,0
11771,0,0,0
11772,0,0,0
11776,0,0,0
11777,0,0,0
11778,0,0,0
11779,0,0,0
11780,0,0,0
11782,0,0,0
11783,0,0,0
11784,0,0,0
11786,0,0,0
11787,0,0,0
11788,0,0,0
11789,0,0,0
11790,0,0,0
11791,0,0,0
11792,0,0,0
11793,0,0,0
11795,0,0,0
11796,0,0,0
11797,0,0,0
11798,0,0,0
11801,0,0,0
11802,0,0,0
11803,0,0,0
11804,0,0,0
11901,0,0,0
11930,0,0,0
11932,0,0,0
11933,0,0,0
11934,0,0,0
11937,0,0,0
11939,0,0,0
11940,0,0,0
11942,0,0,0
11944,0,0,0
11946,0,0,0
11948,0,0,0
11949,0,0,0
11950,0,0,0
11952,0,0,0
11953,0,0,0
11954,0,0,0
11955,0,0,0
11957,0,0,0
11958,0,0,0
11959,0,0,0
11961,0,0,0
11963,0,0,0
11965,0,0,0
11967,0,0,0
11968,0,0,0
11971,0,0,0
11972,0,0,0
11975,0,0,0
11976,0,0,0
11978,0,0,0
11980,0,0,0
11451,1,5,15
10072,2,34,208
10082,3,28,159
10015,1,16,143
10046,0,14,140
10047,0,6,125
11425,0,5,66
10111,0,17,158
10149,0,4,118
10278,0,43,177
10557,0,2,12
10558,0,1,11
11381,0,7,47
11390,0,3,43
11248,0,8,59
11254,0,6,53
11240,0,10,64
11255,0,6,58
10199,0,17,125
10098,0,20,189
10200,0,3,136
11244,0,6,63
10079,0,5,104
11120,0,9,55
10110,0,19,137
10115,0,5,98
10094,0,2,87
10096,0,1,72
10043,0,4,61
10045,0,2,52
10048,0,0,110
10099,0,0,59
10177,0,0,100
10184,0,0,46
10196,0,0,37
10197,0,0,30
11351,0,0,20
10499,0,0,11
11243,0,0,16
11245,0,0,13
10060,0,0,35
10081,0,0,20
10087,0,0,15
11424,0,0,8
11405,0,0,6
11439,0,0,3
11499,0,0,2
10090,0,0,11
11380,0,0,5
10095,0,0,8
10102,0,0,4
10104,0,0,2
11251,0,0,6
11256,0,0,4
