Address ZIP,count1,count5,count15
10001,1,11,86
10002,0,0,66
10003,2,28,120
10004,0,0,0
10005,2,14,60
10006,0,11,55
10007,0,8,50
10008,0,0,56
10009,0,7,75
10010,3,18,111
10011,3,24,114
10012,1,29,109
10013,1,14,91
10014,1,9,65
10016,2,20,99
10017,0,0,4
10018,0,7,55
10019,3,15,54
10020,0,1,41
10021,5,28,109
10022,0,6,74
10023,1,7,56
10024,1,26,111
10025,0,19,100
10026,0,17,124
10027,2,34,155
10028,0,4,80
10029,0,2,75
10030,0,10,132
10031,1,8,109
10032,0,5,49
10033,1,5,39
10034,0,4,57
10035,0,5,77
10036,0,4,50
10037,2,17,143
10038,0,4,40
10039,0,5,102
10040,0,4,41
10041,0,0,46
10044,1,9,74
10055,0,0,23
10065,1,22,98
10069,0,8,46
10075,0,14,83
10080,0,0,9
10101,0,0,0
10103,0,0,35
10105,0,0,0
10106,0,0,0
10107,0,0,0
10108,0,0,0
10112,0,0,24
10116,0,0,0
10118,0,0,0
10119,0,7,82
10120,0,0,0
10121,0,0,0
10122,0,0,0
10123,0,0,0
10128,0,3,64
10150,0,0,0
10151,0,0,0
10152,0,4,65
10153,0,2,56
10154,0,0,47
10155,0,0,0
10156,0,0,0
10158,0,0,0
10159,0,0,0
10162,0,9,75
10163,0,0,0
10165,0,10,75
10166,0,0,0
10167,0,0,0
10168,0,6,67
10169,0,2,59
10170,0,0,51
10171,0,0,39
10172,0,0,31
10173,0,0,43
10174,0,0,35
10175,0,0,0
10176,0,0,0
10178,0,0,0
10185,0,0,0
10271,0,0,30
10276,0,0,0
10279,0,0,26
10280,0,0,18
10281,0,0,0
10282,1,6,39
10301,0,4,19
10302,0,3,23
10303,0,0,14
10304,1,5,21
10305,0,3,17
10306,0,4,24
10307,0,0,1
10308,0,0,10
10309,0,0,3
10310,0,2,21
10311,0,1,12
10312,0,0,7
10313,0,3,22
10314,1,5,20
10451,1,10,95
10452,0,3,49
10453,1,7,50
10454,1,9,51
10455,0,3,22
10456,0,2,37
10457,0,8,52
10458,1,10,55
10459,0,0,14
10460,0,0,16
10461,0,0,5
10462,0,0,4
10463,0,10,58
10464,0,0,9
10465,0,0,0
10466,0,2,17
10467,0,4,42
10468,1,16,68
10469,0,1,16
10470,0,3,40
10471,2,10,40
10472,0,0,3
10473,0,0,0
10474,0,0,7
10475,1,5,15
10501,0,0,0
10502,0,0,0
10504,0,0,0
10505,0,0,0
10506,0,0,0
10507,0,0,0
10509,0,0,0
10510,0,0,0
10511,0,0,0
10512,0,0,0
10514,0,0,0
10516,0,0,0
10517,0,0,0
10520,0,0,0
10522,0,0,0
10523,0,0,0
10524,0,0,0
10526,0,0,0
10528,0,0,0
10530,0,0,0
10532,0,0,0
10533,0,0,0
